code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches;code_departement;centre;longitude;latitude
011;BELLEY;AIN;40136;3298;1174;4610;5772;54990;15334;4483;63;14613;41455;130938;76;01;;5,6927000;45,7430000
012;BOURG;AIN;58528;7410;3706;5076;1668;76388;30692;4495;173;9319;44791;165858;24;01;;5,2469000;46,2027000
013;GEX;AIN;6611;1069;546;2596;780;11602;8188;585;5;7064;13998;41442;114;01;;6,0488000;46,3515000
014;NANTUA;AIN;19347;2262;437;2123;4439;28608;14759;1688;303;12307;35657;93322;173;01;;5,6079000;46,1486000
015;TREVOUX;AIN;52063;4954;4425;4985;11707;78134;14924;4213;37;4579;46450;148337;30;01;;4,7710000;45,9398000
021;CHATEAU THIERRY;AISNE;51666;2534;1461;12843;16191;84695;4971;3287;702;1748;23170;118573;204;02;;3,3784000;49,0556000
022;LAON;AISNE;91883;13024;11237;22377;29248;167769;20187;3170;2006;4925;47532;245589;1127;02;;3,6130000;49,5711000
023;SAINT QUENTIN;AISNE;49784;8366;8415;13932;4897;85394;2643;0;2094;1334;15812;107277;1017;02;;3,2790000;49,8475000
024;SOISSONS;AISNE;45985;8828;6617;14858;9236;85524;4554;2576;639;2876;27966;124135;1007;02;;3,3235000;49,3766000
025;VERVINS;AISNE;49632;5081;6852;12649;9297;83511;19222;0;3386;537;32970;139626;0;02;;3,9226000;49,8371000
031;GANNAT;ALLIER;41006;3432;1264;9672;13058;68432;4509;5249;247;1680;21969;102086;22;03;;3,1708000;46,0991000
032;MONTLUCON;ALLIER;84375;3621;1520;2919;56760;149195;20138;3703;576;3120;32182;208914;843;03;;2,6080000;46,3428000
033;MOULINS;ALLIER;80116;3588;2471;7687;64239;158101;27036;3996;186;9175;59352;257846;352;03;;3,3255000;46,5591000
034;LA PALISSE;ALLIER;64370;6342;1289;7163;26408;105572;16755;4081;147;5150;30286;161991;124;03;;3,6040518;46,2613646
041;BARCELONNETTE;BASSES ALPES;5034;305;76;1592;3725;10732;21155;162;6;50775;32324;115154;0;04;;6,6463000;44,3751000
042;CASTELLANE;BASSES ALPES;17985;976;64;1871;8071;28967;4155;997;1158;64070;30180;129527;0;04;;6,4871000;43,8485000
043;DIGNE;BASSES ALPES;31352;3673;269;5401;20089;60784;3343;5750;655;112520;56022;239074;0;04;;6,2495000;44,1039000
044;FORCALQUIER;BASSES ALPES;16656;2595;90;1130;13278;33749;1597;4792;1635;30524;34894;107191;15;04;;5,7842000;43,9582000
045;SISTERON;BASSES ALPES;16137;557;108;1338;9064;27204;3216;2619;72;38082;33279;104472;2;04;;5,9276000;44,1993000
051;BRIANCON;HAUTES ALPES;5155;693;97;434;3153;9532;29380;257;8;63522;61282;163981;31;05;;6,6536000;44,8995000
052;EMBRUN;HAUTES ALPES;7492;705;212;2196;6148;16753;20120;1873;70;62454;44253;145523;191;05;;6,4750000;44,5806000
053;GAP;HAUTES ALPES;32398;2329;366;6079;24651;65823;14490;3058;1830;70670;93586;249457;834;05;;6,0616000;44,5797000
071;L'ARGENTIERE;ARDECHE;15763;3549;345;308;11068;31033;16560;13923;29675;60715;40809;192715;300;07;;4,2984000;44,5307000
072;PRIVAS;ARDECHE;25054;5233;505;2318;15307;48417;8480;9620;15874;47720;44262;174373;0;07;;4,5949000;44,7214000
073;TOURNON;ARDECHE;33674;9967;972;2540;11882;59035;18018;6102;18753;36556;47113;185577;601;07;;4,8156000;45,0534000
081;MEZIERES;ARDENNES;26252;2259;966;5808;7499;42784;10569;0;646;1752;42732;98483;299;08;;4,7304000;49,7802000
082;RETHEL;ARDENNES;49486;1768;6632;19110;18868;95864;7035;640;2208;743;15818;122308;136;08;;4,3814000;49,5147000
083;ROCROI;ARDENNES;14169;1509;568;5261;5936;27443;12446;0;818;4218;38651;83576;334;08;;4,5548000;49,9277000
084;SEDAN;ARDENNES;25873;1695;1052;7644;6812;43076;8836;95;254;1384;26186;79831;187;08;;4,9269000;49,6993000
085;VOUZIERS;ARDENNES;56059;2743;1281;12592;18625;91300;12362;869;1950;1837;30773;139091;383;08;;4,7073000;49,4194000
091;FOIX;ARIEGE;26697;8778;953;1563;8192;46183;12172;1645;26;69293;81143;210462;0;09;;1,6090000;42,9701000
092;PAMIERS;ARIEGE;43576;6262;1239;7024;16291;74392;3415;9217;57;13662;28109;128852;0;09;;1,6168000;43,1278000
093;SAINT GIRONS;ARIEGE;17844;5069;1345;4219;4548;33025;20302;1891;646;46472;47737;150073;11;09;;1,1591000;42,9681000
101;ARCIS SUR AUBE;AUBE;72593;2733;1041;10602;22234;109203;6867;520;2080;55;7116;125841;43;10;;4,1403000;48,5275000
102;BAR SUR AUBE;AUBE;32750;1107;2019;7098;11971;54945;8460;5037;143;2981;32887;104453;0;10;;4,7166000;48,2330000
103;BAR SUR SEINE;AUBE;42896;1885;1087;7247;14509;67624;4796;12083;201;7267;31173;123144;0;10;;4,3787000;48,1144000
104;NOGENT SUR SEINE;AUBE;44461;1278;1177;8214;15983;71113;6846;992;29;949;9828;89757;96;10;;3,4943000;48,4978000
105;TROYES;AUBE;65599;3478;2542;11843;17571;101033;12060;4280;772;1685;37114;156944;158;10;;4,0761000;48,2924000
111;CARCASSONNE;AUDE;52609;3855;728;8559;27561;93312;4569;18119;1511;60594;24380;202485;0;11;;2,3491000;43,2078000
112;CASTELNAUDARY;AUDE;40622;2051;547;6611;9256;59087;1690;4758;8;11044;13183;89770;0;11;;1,9613000;43,3201000
113;LIMOUX;AUDE;33441;5100;919;11576;20010;71046;5662;9794;142;50639;44727;182010;0;11;;2,2452000;43,0464000
114;NARBONNE;AUDE;36970;2351;310;4267;8189;52087;1889;30857;725;53179;18322;157059;1904;11;;3,0336000;43,1493000
121;ESPALION;AVEYRON;25326;2273;518;1130;20917;50164;35957;2973;12760;27378;24666;153898;2850;12;;2,7624000;44,5191000
122;MILLAU;AVEYRON;39656;4895;550;7361;17785;70247;39329;2757;4713;50030;25954;193030;30;12;;3,1176000;44,0982000
123;RODEZ;AVEYRON;47099;8279;1554;1564;44306;102802;30460;3755;22759;40668;26578;227022;18;12;;2,5699000;44,3591000
124;SAINT AFFRIQUE;AVEYRON;27983;4008;533;7055;25679;65258;17318;3011;6152;44065;35479;171283;0;12;;2,8533000;43,9571000
125;VILLEFRANCHE;AVEYRON;34074;6044;1415;1871;22583;65987;12282;6891;14894;10822;18224;129100;0;12;;2,0296000;44,3471000
131;ARLES;BOUCHES DU RHONE;26257;2230;6691;3904;16449;55531;4674;8899;10292;59577;90417;229390;12309;13;;4,6513000;43,5446000
132;AIX;BOUCHES DU RHONE;31335;3664;2371;3362;11229;51961;1985;24879;23921;70776;41770;215292;1262;13;;5,3879000;43,5360000
133;MARSEILLE;BOUCHES DU RHONE;7384;2421;711;526;1621;12663;759;10986;1366;15125;24906;65805;0;13;;5,3806000;43,2803000
141;BAYEUX;CALVADOS;28587;2072;8923;5582;1693;46857;33657;0;0;1580;12818;94912;1300;14;;-0,7016000;49,2772000
142;CAEN;CALVADOS;40374;2425;18539;16830;5213;83381;12875;0;113;1949;9840;108211;156;14;;-0,3722000;49,1846000
143;FALAISE;CALVADOS;43156;2087;4557;8643;6133;64576;7002;0;390;2347;12733;87048;271;14;;-0,1926000;48,8986000
144;LISIEUX;CALVADOS;21109;1403;900;1427;8651;33490;26965;0;15105;1522;11911;88993;45;14;;0,2426000;49,1477000
145;PONTS L'EVEQUE;CALVADOS;12560;1464;876;1930;7149;23979;28548;0;11084;1180;12494;77285;0;14;;0,1415941;49,2905376
146;VIRE;CALVADOS;41949;1101;3335;12541;6085;65011;12166;0;5121;2736;10590;95624;37;14;;-0,8700000;48,8199000
151;AURILLAC;CANTAL;30485;1581;1244;655;21402;55367;60695;236;12942;36204;28792;194236;1264;15;;2,4416000;44,9281000
152;MAURIAC;CANTAL;23557;1211;796;335;10780;36679;58515;0;633;9541;22870;128238;938;15;;2,3209000;45,2209000
153;MURAT;CANTAL;11590;650;269;165;4821;17495;50605;0;12;6584;10628;85324;135;15;;2,8501000;45,1236000
154;SAINT FLOUR;CANTAL;41233;1367;476;480;22225;65781;55395;117;151;20975;23930;166349;60;15;;3,0730000;45,0251000
161;ANGOULEME;CHARENTE;52317;10620;1840;8778;6785;80340;16168;46616;2005;6342;43913;195384;40;16;;0,1450000;45,6458000
162;BARBEZIEUX;CHARENTE;30658;7581;796;4216;4850;48101;10943;11295;21;5771;22658;98789;200;16;;-0,1554000;45,4811000
163;COGNAC;CHARENTE;22790;3387;616;1991;1867;30651;7126;23461;0;1191;9087;71516;1111;16;;-0,3376000;45,6960000
164;CONFOLENS;CHARENTE;47664;4187;1629;3492;12913;69885;28873;4950;6569;14380;16903;141560;0;16;;0,6639000;46,0245000
165;RUFFEC;CHARENTE;36859;3807;1439;6472;4353;52930;6243;11103;1676;959;14078;86989;394;16;;0,1991000;46,0383000
171;JONZAC;CHARENTE INFERIEURE;55818;8590;1477;2673;8361;76919;15929;16920;0;12120;30466;152354;60;17;;-0,4237000;45,4413000
172;MARENNES;CHARENTE INFERIEURE;22524;2311;733;1200;10601;37369;13936;9954;6;7529;10267;79061;144;17;;-1,0703000;45,8328000
173;LA ROCHELLE;CHARENTE INFERIEURE;25769;1549;5448;3353;7780;43899;9972;17927;3;1123;8372;81296;2796;17;;-1,1765000;46,1621000
174;ROCHEFORT;CHARENTE INFERIEURE;26892;1565;923;1358;6833;37571;14167;12451;0;375;9644;74208;1601;17;;-0,9745000;45,9455000
175;SAINTES;CHARENTE INFERIEURE;59633;4223;1362;5525;9079;79822;14391;29470;40;3650;28058;155431;1966;17;;-0,6456000;45,7462000
176;SAINT JEAN D'ANGELY;CHARENTE INFERIEURE;50813;4112;1299;5043;17394;78661;11077;29275;0;1560;19646;140219;1730;17;;-0,5188000;45,9432000
181;BOURGES;CHER;84289;3620;2258;22143;35074;147384;35299;7150;57;3509;52549;245948;237;18;;2,3983000;47,0780000
182;SAINT AMAND;CHER;57353;2900;2102;28439;39589;130383;63069;993;816;2990;67326;265577;537;18;;2,5167000;46,7236000
183;SANCERRE;CHER;61661;2220;2720;19312;37032;122945;32162;2571;112;9351;41268;208409;419;18;;2,8220000;47,3248000
191;BRIVE;CORREZE;38832;6902;1247;948;8668;56597;22069;15391;27335;13242;17723;152357;244;19;;1,5144000;45,1450000
192;TULLE;CORREZE;59124;4049;1532;218;20693;85616;32380;1349;42994;76037;18364;256740;6966;19;;1,7663000;45,2685000
193;USSEL;CORREZE;38970;2578;313;529;14590;56980;18697;0;1586;72073;28176;177512;1946;19;;2,2940000;45,5537000
201;AJACCIO;CORSE;16071;1684;311;220;5511;23797;722;1499;3007;81396;94981;205402;130;20;;8,6232620;41,9228409
202;BASTIA;CORSE;22707;747;612;945;9901;34912;228;8462;20912;55396;16299;136209;805;20;;9,4033732;42,6861630
203;CALVI;CORSE;5132;63;165;15;4397;9772;165;620;3333;35229;51174;100293;29;20;;8,7198407;42,5498653
204;CORTE;CORSE;16820;337;230;45;11348;28780;355;1618;11165;46186;160403;248507;200;20;;8,9865623;42,2737575
205;SARTENE;CORSE;15344;224;471;0;13938;29977;131;1449;2331;32950;117496;184334;95;20;;8,8499810;41,5753114
211;BEAUNE;COTE D'OR;67103;5784;4757;8425;19169;105238;23951;14138;378;9277;61272;214254;11;21;;4,8421000;47,0272000
212;CHATILLON SUR SEINE;COTE D'OR;65261;6858;1631;12045;19335;105130;5747;4191;303;3349;78752;197472;491;21;;4,5820000;47,8593000
213;DIJON;COTE D'OR;104232;9144;7510;17004;21237;159127;17246;7880;721;5701;110646;301321;220;21;;5,0322000;47,3319000
214;SEMUR;COTE D'OR;67004;3853;2972;6966;18100;98895;16683;3602;962;4593;38334;163069;120;21;;4,2918000;47,4489000
221;DINAN;COTES DU NORD;60151;2160;2784;6824;24812;96731;8796;0;163;14602;20805;141097;600;22;;-2,0533000;48,4471000
222;GUINGAMP;COTES DU NORD;50900;1915;2241;4790;41847;101693;18685;0;2430;33621;16580;173009;1462;22;;-3,1533000;48,5608000
223;LANNION;COTES DU NORD;34905;4516;4119;4031;13906;61477;6121;0;140;8886;13974;90598;260;22;;-3,4697000;48,7454000
224;LOUDEAC;COTES DU NORD;42887;2872;2597;2919;13215;64490;13641;0;0;41619;16902;136652;0;22;;-2,7442000;48,1737000
225;SAINT BRIEUC;COTES DU NORD;62545;5947;2810;4737;27044;103083;9726;0;2934;18601;12862;147206;115;22;;-2,7657000;48,5108000
231;AUBUSSON;CREUSE;54324;6125;1462;427;33368;95706;42958;0;106;42085;23202;204057;845;23;;2,1701000;45,9472000
232;BOURGANEUF;CREUSE;15671;1672;648;230;10369;28590;18963;0;4326;22356;16358;90593;681;23;;1,7466000;45,9472000
