id;code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches;code_departement;centre;geometry
1;291;BREST;FINISTERE;42516;9390;1284;4714;7681;65585;6922;0;271;48288;20377;141443;1952;29;;"list(list(c(173627.340242724, 152339.732441607, 146789.222569242, 150538.268792707, 135590.946553885, 124318.680014224, 128817.802349859, 159667.233661095, 165337.426013502, 173627.340242724, 6840498.66245154, 6816372.54428255, 6819286.0693785, 6836511.58342303, 6831460.83221542, 6841356.70759564, 6855071.22263635, 6866994.72964776, 6866754.7561989, 6840498.66245154)), list(c(131235.153385857, 129285.973076463, 136179.197363745, 131235.153385857, 6799742.31055929, 6801172.80120207, 6802366.68152851, 
6799742.31055929)))"
2;292;CHATEAULIN;FINISTERE;50750;3112;896;3029;15011;72798;12200;0;391;75120;22677;183186;4550;29;;list(c(173627.340242724, 216510.665816557, 217546.080404177, 216704.50652019, 199057.490851079, 151033.799832731, 159896.805491248, 158106.076281736, 152339.732441607, 173627.340242724, 6840498.66245154, 6817386.08270821, 6815209.40172717, 6812182.84416623, 6797308.56553438, 6804939.4423884, 6806474.48138435, 6813345.72550798, 6816372.54428255, 6840498.66245154))
3;294;QUIMPER;FINISTERE;39461;3579;1184;1849;12500;58573;8244;0;946;58953;13272;139988;1448;29;;list(c(136179.197363745, 151033.799832731, 199057.490851079, 185069.381327141, 178577.229553597, 168936.107282889, 162329.631850491, 151256.901845723, 146987.764494618, 131235.153385857, 136179.197363745, 6802366.68152851, 6804939.4423884, 6797308.56553438, 6769163.92931573, 6773488.36852903, 6775551.59420473, 6768594.59873292, 6774363.0073256, 6788181.57260101, 6799742.31055929, 6802366.68152851))
4;561;LORIENT;MORBIHAN;48668;4224;2119;238;2465;57714;13755;0;1720;60000;14183;147372;990;56;;list(c(232038.20772053, 249376.955985561, 240583.485148352, 239033.809392634, 237695.490725708, 224141.4334591, 216989.367749159, 213256.206424703, 232038.20772053, 6779634.77918271, 6763704.23180291, 6734084.6547795, 6733697.86970985, 6740973.51739493, 6753553.95845383, 6752562.66281898, 6761640.33121857, 6779634.77918271))
5;641;BAYONNE;BASSES PYRENEES;19226;835;1039;525;1017;22642;8125;2401;2521;42500;25260;103449;30;64;;list(c(366664.007018827, 366513.107179435, 338399.128791859, 338013.103883292, 344068.465298726, 315806.387637966, 334595.766512512, 342353.137292983, 343612.807841696, 366664.007018827, 6270380.13137481, 6265647.35458069, 6226578.75095016, 6226511.37152686, 6249203.52891417, 6259397.06728075, 6280436.33379487, 6299894.32600657, 6304601.69369724, 6270380.13137481))
6;293;MORLAIX;FINISTERE;37929;8406;3243;5804;10171;65553;8615;0;222;38063;20029;132482;1601;29;;list(c(165337.426013502, 181098.291020738, 188602.287395605, 206169.313891807, 210063.39919682, 211079.167452786, 220827.182056713, 216510.665816557, 173627.340242724, 165337.426013502, 6866754.7561989, 6866087.72607052, 6862379.10754613, 6866023.60378255, 6860225.09401707, 6862090.9684998, 6843492.83365898, 6817386.08270821, 6840498.66245154, 6866754.7561989))
7;295;QUIMPERLE;FINISTERE;18331;827;399;143;7324;27024;4470;0;2634;28319;12625;75072;81;29;;list(c(216704.50652019, 232038.20772053, 213256.206424703, 212183.103688591, 191291.451958199, 185069.381327141, 199057.490851079, 216704.50652019, 6812182.84416623, 6779634.77918271, 6761640.33121857, 6764249.72040658, 6765019.39185521, 6769163.92931573, 6797308.56553438, 6812182.84416623))
8;223;LANNION;COTES DU NORD;34905;4516;4119;4031;13906;61477;6121;0;140;8886;13974;90598;260;22;;list(c(220827.182056713, 211079.167452786, 216599.69360266, 244182.829370953, 251769.91245177, 220827.182056713, 6843492.83365898, 6862090.9684998, 6872231.67610092, 6880923.06679276, 6873430.02626368, 6843492.83365898))
9;563;NAPOLEONVILLE;MORBIHAN;54598;666;1414;176;15722;72576;15281;0;1446;67079;17648;174030;570;56;;list(c(217546.080404177, 251542.375082009, 273378.551223271, 271480.385894432, 249376.955985561, 232038.20772053, 216704.50652019, 217546.080404177, 6815209.40172717, 6819057.8548431, 6775725.57518249, 6771360.89125823, 6763704.23180291, 6779634.77918271, 6812182.84416623, 6815209.40172717))
10;222;GUINGAMP;COTES DU NORD;50900;1915;2241;4790;41847;101693;18685;0;2430;33621;16580;173009;1462;22;;list(c(220827.182056713, 251769.91245177, 265218.366692306, 254437.850418976, 251542.375082009, 217546.080404177, 216510.665816557, 220827.182056713, 6843492.83365898, 6873430.02626368, 6860148.26677793, 6820786.42024523, 6819057.8548431, 6815209.40172717, 6817386.08270821, 6843492.83365898))
11;853;LES SABLES D'OLONNE;VENDEE;56399;17888;2705;8286;47686;132964;44157;4645;295;23630;17246;222937;5422;85;;list(c(311701.222360397, 363627.627635518, 359073.147713549, 354421.27893028, 342798.056005528, 331088.081042848, 328456.328381178, 322393.710706145, 308247.925617673, 307802.274606958, 311701.222360397, 6654155.0659179, 6599474.28571819, 6594955.75053946, 6598249.41459262, 6601877.64995541, 6610585.71250594, 6623708.89273588, 6633660.72793156, 6648176.20512105, 6653474.91463685, 6654155.0659179))
12;564;VANNES;MORBIHAN;55750;1632;2099;570;6293;66344;20081;1693;1169;85639;23505;198431;678;56;;list(c(249376.955985561, 271480.385894432, 294224.83903973, 292283.014419966, 282846.768546687, 280942.693644218, 288975.102275955, 285145.877973609, 262401.994711523, 270784.2404612, 266003.531950138, 240583.485148352, 249376.955985561, 6763704.23180291, 6771360.89125823, 6746035.92181125, 6719475.04636898, 6708538.7864017, 6711804.37310795, 6719513.77631054, 6728568.07980493, 6725761.57482742, 6735676.31888714, 6740429.26882959, 6734084.6547795, 6763704.23180291))
13;502;CHERBOURG;MANCHE;24531;2167;4216;7095;4602;42611;5385;0;156;6044;5744;59940;251;50;;list(c(349983.835675152, 348991.696322435, 359311.483232598, 366237.418350815, 381000.884558899, 386559.542745216, 349983.835675152, 6934258.82054402, 6960943.91726325, 6963612.53154597, 6958934.56865681, 6964976.98465603, 6963561.48703167, 6934258.82054402))
14;225;SAINT BRIEUC;COTES DU NORD;62545;5947;2810;4737;27044;103083;9726;0;2934;18601;12862;147206;115;22;;list(c(302876.547176457, 297644.794016468, 254437.850418976, 265218.366692306, 271095.283406251, 271105.89940111, 283898.033332986, 291106.729219568, 301530.552459967, 302876.547176457, 6844994.47539611, 6819473.01132151, 6820786.42024523, 6860148.26677793, 6854344.19495552, 6848503.1922443, 6839669.61221585, 6847421.13846137, 6851824.51057787, 6844994.47539611))
15;224;LOUDEAC;COTES DU NORD;42887;2872;2597;2919;13215;64490;13641;0;0;41619;16902;136652;0;22;;list(c(251542.375082009, 254437.850418976, 297644.794016468, 303947.375546461, 302894.862774472, 273378.551223271, 251542.375082009, 6819057.8548431, 6820786.42024523, 6819473.01132151, 6806973.93788198, 6800271.30163495, 6775725.57518249, 6819057.8548431))
16;444;PAIMBOEUF;LOIRE INFERIEURE;25966;2250;1179;1640;16358;47393;12292;4086;0;3057;10042;76870;1105;44;;list(c(292283.014419966, 311790.899480846, 335931.368813839, 329908.285430306, 311701.222360397, 307802.274606958, 307606.097012026, 322377.789805402, 299606.247936981, 288525.851811411, 282846.768546687, 292283.014419966, 6719475.04636898, 6720061.10002944, 6688136.18214315, 6661901.38143795, 6654155.0659179, 6653474.91463685, 6655807.43058332, 6670635.20670013, 6695023.93909366, 6698798.86556721, 6708538.7864017, 6719475.04636898))
17;221;DINAN;COTES DU NORD;60151;2160;2784;6824;24812;96731;8796;0;163;14602;20805;141097;600;22;;list(c(297644.794016468, 302876.547176457, 356001.633807923, 359044.540887524, 358009.466247122, 343975.940096315, 303947.375546461, 297644.794016468, 6819473.01132151, 6844994.47539611, 6833219.52140175, 6825877.62863358, 6821352.26642343, 6812309.86823756, 6806973.93788198, 6819473.01132151))
18;562;PLOERMEL;MORBIHAN;55850;731;1338;118;6000;64037;14320;0;1711;61655;18225;159948;130;56;;list(c(273378.551223271, 302894.862774472, 324880.387704018, 294224.83903973, 271480.385894432, 273378.551223271, 6775725.57518249, 6800271.30163495, 6766560.29232736, 6746035.92181125, 6771360.89125823, 6775725.57518249))
19;355;SAINT MALO;ILLE ET VILAINE;44293;3524;5774;4965;10310;68866;6087;0;404;6017;11547;92921;300;35;;list(c(301530.552459967, 307703.082892227, 316404.68138313, 322492.808156928, 330812.969220727, 335114.488364551, 329735.881855757, 336823.267018287, 348643.478072976, 355905.270464832, 356001.633807923, 302876.547176457, 301530.552459967, 6851824.51057787, 6854431.99420138, 6843750.69286666, 6846066.97625774, 6841201.40424807, 6838092.91032644, 6850108.67680499, 6855216.09067518, 6844179.87508346, 6845067.79765843, 6833219.52140175, 6844994.47539611, 6851824.51057787))
20;352;MONTFORT;ILLE ET VILAINE;41799;612;1583;2706;11936;58636;7848;0;532;13225;14394;94635;1;35;;list(c(303947.375546461, 343975.940096315, 337882.600323205, 324880.387704018, 302894.862774472, 303947.375546461, 6806973.93788198, 6812309.86823756, 6763464.54195364, 6766560.29232736, 6800271.30163495, 6806973.93788198))
21;353;REDON;ILLE ET VILAINE;46430;2286;1381;632;4441;55170;14748;190;379;47493;14977;132957;415;35;;list(c(311790.899480846, 292283.014419966, 294224.83903973, 324880.387704018, 337882.600323205, 343667.902880413, 345982.952725653, 311790.899480846, 6720061.10002944, 6719475.04636898, 6746035.92181125, 6766560.29232736, 6763464.54195364, 6759671.93674288, 6729844.70886303, 6720061.10002944))
22;445;SAVENAY;LOIRE INFERIEURE;45211;3380;2341;2733;15194;68859;44165;2515;446;55243;46664;217892;5310;44;;list(c(345982.952725653, 353993.256823915, 335931.368813839, 311790.899480846, 345982.952725653, 6729844.70886303, 6721012.84314473, 6688136.18214315, 6720061.10002944, 6729844.70886303))
23;851;NAPOLEON VENDEE;VENDEE;63814;21278;4430;10346;59385;159253;28990;5200;769;19520;23186;236918;5;85;;list(c(329908.285430306, 370404.1756753, 388027.464792731, 375329.159472909, 363627.627635518, 311701.222360397, 329908.285430306, 6661901.38143795, 6658991.81487105, 6633500.70347774, 6605010.21843292, 6599474.28571819, 6654155.0659179, 6661901.38143795))
24;354;RENNES;ILLE ET VILAINE;65511;1830;3779;5283;12713;89116;16612;0;2362;12561;16935;137586;86;35;;list(c(358009.466247122, 370494.990829198, 368217.746268859, 343667.902880413, 337882.600323205, 343975.940096315, 358009.466247122, 6821352.26642343, 6801612.35744176, 6770334.86391278, 6759671.93674288, 6763464.54195364, 6812309.86823756, 6821352.26642343))
25;443;NANTES;LOIRE INFERIEURE;49861;10103;4726;6825;18285;89800;28998;18617;1868;8426;26302;174011;3646;44;;list(c(335931.368813839, 353993.256823915, 361144.581483783, 380113.321635718, 370404.1756753, 329908.285430306, 335931.368813839, 6688136.18214315, 6721012.84314473, 6718876.26651231, 6678495.75969877, 6658991.81487105, 6661901.38143795, 6688136.18214315))
26;442;CHATEAUBRIANT;LOIRE INFERIEURE;41589;2000;1257;2922;19250;67018;19584;686;269;20598;31416;139571;37;44;;list(c(345982.952725653, 343667.902880413, 368217.746268859, 392385.058391878, 390022.879067526, 361144.581483783, 353993.256823915, 345982.952725653, 6729844.70886303, 6759671.93674288, 6770334.86391278, 6760776.28675634, 6729949.52824853, 6718876.26651231, 6721012.84314473, 6729844.70886303))
27;172;MARENNES;CHARENTE INFERIEURE;22524;2311;733;1200;10601;37369;13936;9954;6;7529;10267;79061;144;17;;list(list(c(371870.34613731, 372391.992605283, 373584.382046029, 360459.201558444, 367567.23369498, 371870.34613731, 6550962.09456857, 6550615.35293723, 6536625.8247949, 6548635.58950203, 6550228.42521835, 6550962.09456857)), list(c(401409.935548407, 392028.846341652, 388641.917293691, 370454.497846348, 384133.240895717, 401409.935548407, 6531326.946915, 6504158.19766274, 6507730.36925279, 6521016.62746479, 6542810.87263076, 6531326.946915)))
28;642;MAULEON;BASSES PYRENEES;19765;640;621;78;850;21954;17897;3991;3160;88544;57990;193536;0;64;;list(c(366513.107179435, 399927.778403297, 388835.8763202, 375512.430710803, 348960.902576422, 338399.128791859, 366513.107179435, 6265647.35458069, 6254618.80486318, 6213282.43189554, 6215300.10086681, 6228422.27506198, 6226578.75095016, 6265647.35458069))
29;493;CHOLET;MAINE ET LOIRE;50662;21725;3080;12823;24983;113273;22000;2833;382;6985;16313;161786;120;49;;list(c(380113.321635718, 411792.949252862, 434782.39191259, 436050.701180355, 405515.619364743, 388027.464792731, 370404.1756753, 380113.321635718, 6678495.75969877, 6694681.57047944, 6682371.90430678, 6678967.97183472, 6634444.30959204, 6633500.70347774, 6658991.81487105, 6678495.75969877))
30;501;AVRANCHES;MANCHE;48469;497;3903;12736;5748;71353;11719;0;3302;2094;8859;97327;1037;50;;list(c(356001.633807923, 355905.270464832, 363324.730517147, 375356.985127829, 363901.721922739, 362600.503702766, 362761.955382229, 391834.377643521, 398644.311447795, 391873.657337058, 359044.540887524, 356001.633807923, 6833219.52140175, 6845067.79765843, 6845974.99876237, 6847183.51200123, 6860071.92903129, 6869319.66889687, 6870021.64964887, 6873475.5235413, 6856353.21966245, 6833963.12812604, 6825877.62863358, 6833219.52140175))
31;173;LA ROCHELLE;CHARENTE INFERIEURE;25769;1549;5448;3353;7780;43899;9972;17927;3;1123;8372;81296;2796;17;;"list(list(c(363627.627635518, 375329.159472909, 407549.074791445, 407819.238769976, 385269.553802659, 373714.381277741, 384298.22657854, 375801.174884663, 359073.147713549, 363627.627635518, 6599474.28571819, 6605010.21843292, 6572713.72270438, 6571749.54912325, 6558710.18915547, 6571643.55448755, 6587657.18741137, 6583111.80043236, 6594955.75053946, 6599474.28571819)), list(c(371870.34613731, 367567.23369498, 372333.927624502, 372339.323857117, 371870.34613731, 6550962.09456857, 6550228.42521835, 
6551296.59151161, 6551233.28103145, 6550962.09456857)))"
32;503;COUTANCES;MANCHE;60503;1663;5941;20064;4046;92217;13414;0;2203;13519;10569;131922;3109;50;;list(c(384530.907458668, 392542.876386223, 391834.377643521, 362761.955382229, 366239.896650729, 365063.794074368, 359451.426824039, 384530.907458668, 6918397.10840546, 6874492.67375122, 6873475.5235413, 6870021.64964887, 6885143.49808807, 6902494.52261329, 6918712.38177004, 6918397.10840546))
33;506;VALOGNES;MANCHE;36284;3043;6441;8556;3874;58198;25316;0;3113;7137;9881;103645;3639;50;;list(c(384530.907458668, 359451.426824039, 357824.418998411, 350022.369332795, 349983.835675152, 386559.542745216, 391655.598082911, 394385.072581647, 388384.605989653, 396887.300531528, 397972.153247144, 384530.907458668, 6918397.10840546, 6918712.38177004, 6923413.88874313, 6933222.39922041, 6934258.82054402, 6963561.48703167, 6962263.79000077, 6955420.61061124, 6946159.18983269, 6932536.32079889, 6926071.04382827, 6918397.10840546))
34;762;LE HAVRE;SEINE INFERIEURE;38350;3455;6087;12980;6949;67821;2387;0;4813;1081;11700;87802;58;76;;list(c(515395.06253986, 504467.188253636, 490048.163553813, 490235.722554907, 503883.630749091, 506949.280079913, 491230.487255943, 487468.417671729, 498533.520181211, 509238.058345855, 515395.06253986, 6942832.53802273, 6925250.37636354, 6925296.87443889, 6925427.60796298, 6928965.80181616, 6930587.90113522, 6933136.21244298, 6938678.62017314, 6960770.19008969, 6966451.48315698, 6942832.53802273))
35;441;ANCENIS;LOIRE INFERIEURE;27448;1783;1849;1775;18117;50972;11089;3679;49;1777;11547;79113;0;44;;list(c(361144.581483783, 390022.879067526, 407430.711577543, 411792.949252862, 380113.321635718, 361144.581483783, 6718876.26651231, 6729949.52824853, 6717403.31075692, 6694681.57047944, 6678495.75969877, 6718876.26651231))
